sigma_fair,sigma_offset,option_type,num_zeros,boundary_type,lower_boundary,upper_boundary,early_exercise_premium,american_value,european_value
0.21000000000000002,0.02,call,0,always_exercise,,,0.0,0.7537271149672975,0.7537271149672975
0.21000000000000002,0.02,put,0,always_exercise,,,0.0,0.7537271149672975,0.7537271149672975
0.21000000000000002,0.03,call,0,always_exercise,,,0.0,1.1314903837740289,1.1314903837740289
0.21000000000000002,0.03,put,0,always_exercise,,,0.0,1.1314903837740289,1.1314903837740289
0.21000000000000002,0.04,call,0,always_exercise,,,0.0,1.5097116161180182,1.5097116161180182
0.21000000000000002,0.04,put,0,always_exercise,,,0.0,1.5097116161180182,1.5097116161180182
0.21000000000000002,0.05,call,0,always_exercise,,,0.0,1.8883027580177654,1.8883027580177654
0.21000000000000002,0.05,put,0,always_exercise,,,0.0,1.8883027580177654,1.8883027580177654
0.21000000000000002,0.06,call,0,always_exercise,,,0.0,2.267187228229652,2.267187228229652
0.21000000000000002,0.06,put,0,always_exercise,,,0.0,2.267187228229652,2.267187228229652
0.21000000000000002,0.07,call,0,always_exercise,,,0.0,2.6462979099493182,2.6462979099493182
0.21000000000000002,0.07,put,0,always_exercise,,,0.0,2.6462979099493182,2.6462979099493182
0.21000000000000002,0.08,call,0,always_exercise,,,0.0,3.025575549886291,3.025575549886291
0.21000000000000002,0.08,put,0,always_exercise,,,0.0,3.025575549886291,3.025575549886291
0.21000000000000002,0.09,call,0,always_exercise,,,0.0,3.4049674717351266,3.4049674717351266
0.21000000000000002,0.09,put,0,always_exercise,,,0.0,3.4049674717351266,3.4049674717351266
0.21000000000000002,0.1,call,0,always_exercise,,,0.0,3.7844265344919563,3.7844265344919563
0.21000000000000002,0.1,put,0,always_exercise,,,0.0,3.784426534491949,3.784426534491949
0.22,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.22,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.22,0.01,call,0,always_exercise,,,0.0,0.3772032372575964,0.3772032372575964
0.22,0.01,put,0,always_exercise,,,0.0,0.3772032372576035,0.3772032372576035
0.22,0.02,call,0,always_exercise,,,0.0,0.7549665060643278,0.7549665060643278
0.22,0.02,put,0,always_exercise,,,0.0,0.7549665060643349,0.7549665060643349
0.22,0.03,call,0,always_exercise,,,0.0,1.133187738408317,1.133187738408317
0.22,0.03,put,0,always_exercise,,,0.0,1.1331877384083242,1.1331877384083242
0.22,0.04,call,0,always_exercise,,,0.0,1.5117788803080643,1.5117788803080643
0.22,0.04,put,0,always_exercise,,,0.0,1.5117788803080714,1.5117788803080714
0.22,0.05,call,0,always_exercise,,,0.0,1.8906633505199508,1.8906633505199508
0.22,0.05,put,0,always_exercise,,,0.0,1.890663350519958,1.890663350519958
0.22,0.06,call,0,always_exercise,,,0.0,2.269774032239617,2.269774032239617
0.22,0.06,put,0,always_exercise,,,0.0,2.2697740322396243,2.2697740322396243
0.22,0.07,call,0,always_exercise,,,0.0,2.64905167217659,2.64905167217659
0.22,0.07,put,0,always_exercise,,,0.0,2.649051672176597,2.649051672176597
0.22,0.08,call,0,always_exercise,,,0.0,3.0284435940254184,3.0284435940254184
0.22,0.08,put,0,always_exercise,,,0.0,3.0284435940254326,3.0284435940254326
0.22,0.09,call,0,always_exercise,,,0.0,3.4079026567822552,3.4079026567822552
0.22,0.09,put,0,always_exercise,,,0.0,3.4079026567822552,3.4079026567822552
0.22,0.1,call,0,always_exercise,,,0.0,3.787386405360458,3.787386405360458
0.22,0.1,put,0,always_exercise,,,0.0,3.787386405360472,3.787386405360472
0.23,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.23,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.23,0.01,call,0,always_exercise,,,0.0,0.3777632688067314,0.3777632688067314
0.23,0.01,put,0,always_exercise,,,0.0,0.3777632688067314,0.3777632688067314
0.23,0.02,call,0,always_exercise,,,0.0,0.7559845011507207,0.7559845011507207
0.23,0.02,put,0,always_exercise,,,0.0,0.7559845011507207,0.7559845011507207
0.23,0.03,call,0,always_exercise,,,0.0,1.1345756430504679,1.1345756430504679
0.23,0.03,put,0,always_exercise,,,0.0,1.1345756430504679,1.1345756430504679
0.23,0.04,call,0,always_exercise,,,0.0,1.5134601132623544,1.5134601132623544
0.23,0.04,put,0,always_exercise,,,0.0,1.5134601132623544,1.5134601132623544
0.23,0.05,call,0,always_exercise,,,0.0,1.8925707949820207,1.8925707949820207
0.23,0.05,put,0,always_exercise,,,0.0,1.8925707949820207,1.8925707949820207
0.23,0.06,call,0,always_exercise,,,0.0,2.2718484349189936,2.2718484349189936
0.23,0.06,put,0,always_exercise,,,0.0,2.2718484349189936,2.2718484349189936
0.23,0.07,call,0,always_exercise,,,0.0,2.651240356767829,2.651240356767829
0.23,0.07,put,0,always_exercise,,,0.0,2.651240356767829,2.651240356767829
0.23,0.08,call,0,always_exercise,,,0.0,3.030699419524659,3.030699419524659
0.23,0.08,put,0,always_exercise,,,0.0,3.0306994195246517,3.0306994195246517
0.23,0.09,call,0,always_exercise,,,0.0,3.4101831681028614,3.4101831681028614
0.23,0.09,put,0,always_exercise,,,0.0,3.4101831681028685,3.4101831681028685
0.23,0.1,call,0,always_exercise,,,0.0,3.789653136178508,3.789653136178508
0.23,0.1,put,0,always_exercise,,,0.0,3.789653136178508,3.789653136178508
0.24000000000000002,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.24000000000000002,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.24000000000000002,0.01,call,0,always_exercise,,,0.0,0.3782212323439893,0.3782212323439893
0.24000000000000002,0.01,put,0,always_exercise,,,0.0,0.3782212323439893,0.3782212323439893
